episode,reward,steps_survived
804,114.00,125
805,200.00,200
806,36.00,47
807,200.00,200
808,200.00,200
809,200.00,200
810,143.00,154
811,114.00,125
812,68.00,79
813,46.00,57
814,41.00,52
815,100.00,111
816,149.00,160
817,200.00,200
818,200.00,200
819,200.00,200
820,49.00,60
821,178.00,189
822,200.00,200
823,200.00,200
824,200.00,200
825,200.00,200
826,162.00,173
827,200.00,200
828,105.00,116
829,200.00,200
830,60.00,71
831,200.00,200
832,200.00,200
833,200.00,200
834,200.00,200
835,200.00,200
836,200.00,200
837,200.00,200
838,200.00,200
839,200.00,200
840,200.00,200
841,146.00,157
842,200.00,200
843,200.00,200
844,178.00,189
845,200.00,200
846,200.00,200
847,200.00,200
848,200.00,200
849,200.00,200
850,63.00,74
851,34.00,45
852,30.00,41
853,200.00,200
854,46.00,57
855,200.00,200
856,155.00,166
857,155.00,166
858,200.00,200
859,200.00,200
860,200.00,200
861,200.00,200
862,200.00,200
863,200.00,200
864,200.00,200
865,200.00,200
866,135.00,146
867,200.00,200
868,51.00,62
869,159.00,170
870,200.00,200
871,200.00,200
872,200.00,200
873,67.00,78
874,115.00,126
875,163.00,174
876,200.00,200
877,200.00,200
878,200.00,200
879,200.00,200
880,200.00,200
881,77.00,88
882,3.00,14
883,12.00,23
884,200.00,200
885,163.00,174
886,167.00,178
887,141.00,152
888,200.00,200
889,200.00,200
890,200.00,200
891,200.00,200
892,200.00,200
893,200.00,200
894,200.00,200
895,200.00,200
896,39.00,50
897,155.00,166
898,200.00,200
899,200.00,200
900,200.00,200
901,200.00,200
902,12.00,23
903,200.00,200
904,200.00,200
905,138.00,149
906,200.00,200
907,200.00,200
908,200.00,200
909,200.00,200
910,116.00,127
911,200.00,200
912,200.00,200
913,12.00,23
914,27.00,38
915,200.00,200
916,200.00,200
917,200.00,200
918,200.00,200
919,200.00,200
920,200.00,200
921,43.00,54
922,200.00,200
923,200.00,200
924,200.00,200
925,200.00,200
926,200.00,200
927,39.00,50
928,200.00,200
929,200.00,200
930,200.00,200
931,200.00,200
932,200.00,200
933,200.00,200
934,200.00,200
935,200.00,200
936,200.00,200
937,200.00,200
938,200.00,200
939,200.00,200
940,200.00,200
941,105.00,116
942,200.00,200
943,24.00,35
944,200.00,200
945,37.00,48
946,200.00,200
947,200.00,200
948,58.00,69
949,200.00,200
950,200.00,200
951,200.00,200
952,176.00,187
953,51.00,62
954,200.00,200
955,200.00,200
956,200.00,200
957,86.00,97
958,200.00,200
959,200.00,200
960,98.00,109
961,200.00,200
962,48.00,59
963,88.00,99
964,200.00,200
965,200.00,200
966,65.00,76
967,200.00,200
968,-3.00,8
969,200.00,200
970,200.00,200
971,200.00,200
972,134.00,145
973,129.00,140
974,84.00,95
975,200.00,200
976,200.00,200
977,200.00,200
978,129.00,140
979,62.00,73
980,153.00,164
981,200.00,200
982,200.00,200
983,157.00,168
984,200.00,200
985,200.00,200
986,200.00,200
987,36.00,47
988,200.00,200
989,122.00,133
990,109.00,120
991,200.00,200
992,11.00,22
993,170.00,181
994,54.00,65
995,152.00,163
996,200.00,200
997,58.00,69
998,13.00,24
999,200.00,200
1000,200.00,200
1001,132.00,143
1002,200.00,200
1003,200.00,200
1004,49.00,60
1005,200.00,200
1006,200.00,200
1007,17.00,28
1008,200.00,200
1009,200.00,200
1010,200.00,200
1011,200.00,200
1012,200.00,200
1013,200.00,200
1014,200.00,200
1015,200.00,200
1016,47.00,58
1017,200.00,200
1018,200.00,200
1019,200.00,200
1020,200.00,200
1021,87.00,98
1022,200.00,200
1023,200.00,200
1024,200.00,200
1025,200.00,200
1026,200.00,200
1027,97.00,108
1028,126.00,137
1029,200.00,200
1030,108.00,119
1031,200.00,200
1032,200.00,200
1033,200.00,200
1034,200.00,200
1035,200.00,200
1036,13.00,24
1037,52.00,63
1038,30.00,41
1039,153.00,164
1040,113.00,124
1041,200.00,200
1042,200.00,200
1043,91.00,102
1044,200.00,200
1045,200.00,200
1046,200.00,200
1047,200.00,200
1048,200.00,200
1049,200.00,200
1050,200.00,200
1051,200.00,200
1052,200.00,200
1053,32.00,43
1054,116.00,127
1055,200.00,200
1056,61.00,72
1057,200.00,200
1058,41.00,52
1059,200.00,200
1060,200.00,200
1061,127.00,138
1062,200.00,200
1063,200.00,200
1064,36.00,47
1065,200.00,200
1066,200.00,200
1067,200.00,200
1068,200.00,200
1069,38.00,49
1070,200.00,200
1071,31.00,42
1072,200.00,200
1073,200.00,200
1074,200.00,200
1075,142.00,153
1076,200.00,200
1077,200.00,200
1078,200.00,200
1079,200.00,200
1080,107.00,118
1081,200.00,200
1082,200.00,200
1083,200.00,200
1084,200.00,200
