system:index,classification,.geo
163,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94054023774468]}"
164,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94054023774468]}"
165,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94054023774468]}"
166,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94054023774468]}"
167,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94054023774468]}"
168,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94054023774468]}"
169,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94054023774468]}"
170,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94054023774468]}"
171,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94054023774468]}"
172,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94054023774468]}"
173,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94054023774468]}"
174,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94054023774468]}"
175,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94054023774468]}"
176,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94054023774468]}"
177,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94054023774468]}"
178,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94054023774468]}"
179,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94054023774468]}"
180,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94054023774468]}"
181,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94054023774468]}"
182,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94054023774468]}"
183,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.94054023774468]}"
184,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.94054023774468]}"
185,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.94054023774468]}"
186,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.94054023774468]}"
187,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.94054023774468]}"
188,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.94054023774468]}"
189,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.940630069273084]}"
190,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.940630069273084]}"
191,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.940630069273084]}"
192,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.940630069273084]}"
193,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940630069273084]}"
194,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940630069273084]}"
