system:index,classification,.geo
111,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94036057468785]}"
112,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94036057468785]}"
113,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94036057468785]}"
114,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94036057468785]}"
115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94036057468785]}"
116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94036057468785]}"
117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94036057468785]}"
118,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94036057468785]}"
119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94036057468785]}"
120,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94036057468785]}"
121,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94036057468785]}"
122,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94036057468785]}"
123,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94036057468785]}"
124,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94036057468785]}"
125,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94036057468785]}"
126,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94036057468785]}"
127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94036057468785]}"
128,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94036057468785]}"
129,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94036057468785]}"
130,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.94036057468785]}"
131,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.94036057468785]}"
132,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.940450406216264]}"
133,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.940450406216264]}"
134,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940450406216264]}"
135,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940450406216264]}"
136,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940450406216264]}"
137,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940450406216264]}"
138,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940450406216264]}"
139,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940450406216264]}"
140,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940450406216264]}"
141,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940450406216264]}"
142,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940450406216264]}"
143,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940450406216264]}"
144,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940450406216264]}"
145,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940450406216264]}"
146,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940450406216264]}"
147,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940450406216264]}"
148,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940450406216264]}"
149,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940450406216264]}"
150,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940450406216264]}"
151,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940450406216264]}"
152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940450406216264]}"
153,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940450406216264]}"
154,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.940450406216264]}"
155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.940450406216264]}"
156,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.940450406216264]}"
157,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.940450406216264]}"
158,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.940450406216264]}"
159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.94054023774468]}"
160,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94054023774468]}"
161,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94054023774468]}"
162,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94054023774468]}"
163,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94054023774468]}"
164,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94054023774468]}"
165,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94054023774468]}"
166,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94054023774468]}"
167,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94054023774468]}"
168,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94054023774468]}"
169,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94054023774468]}"
170,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94054023774468]}"
171,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94054023774468]}"
172,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94054023774468]}"
173,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94054023774468]}"
174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94054023774468]}"
175,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94054023774468]}"
176,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94054023774468]}"
177,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94054023774468]}"
