system:index,B2,B3,B4,B8,NDVI,cluster,.geo
17673,481.0,731.0,746.0,2192.0,0.49217156,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92482594866306,50.951409852682524]}"
17674,410.0,668.0,545.0,2486.0,0.6403827,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92491578019145,50.951409852682524]}"
17675,358.0,638.0,423.0,2690.0,0.72823644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92500561171987,50.951409852682524]}"
17676,358.0,638.0,423.0,2690.0,0.72823644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92509544324828,50.951409852682524]}"
17677,408.0,666.0,548.0,2644.0,0.6566416,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9251852747767,50.951409852682524]}"
17678,543.0,810.0,862.0,2358.0,0.46459627,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92527510630511,50.951409852682524]}"
17679,543.0,810.0,862.0,2358.0,0.46459627,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92536493783352,50.951409852682524]}"
17680,578.0,831.0,946.0,2170.0,0.3928113,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92545476936193,50.951409852682524]}"
17681,452.0,697.0,700.0,2288.0,0.53145915,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92554460089035,50.951409852682524]}"
17682,452.0,697.0,700.0,2288.0,0.53145915,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92563443241876,50.951409852682524]}"
17683,369.0,603.0,474.0,2498.0,0.6810229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92572426394717,50.951409852682524]}"
17684,369.0,603.0,474.0,2498.0,0.6810229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92581409547559,50.951409852682524]}"
17685,355.0,623.0,444.0,2662.0,0.71410173,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92590392700399,50.951409852682524]}"
17686,452.0,712.0,641.0,2568.0,0.6004986,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9259937585324,50.951409852682524]}"
17687,452.0,712.0,641.0,2568.0,0.6004986,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92608359006081,50.951409852682524]}"
17688,543.0,811.0,830.0,2258.0,0.46243525,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92617342158923,50.951409852682524]}"
17689,488.0,752.0,748.0,2188.0,0.49046323,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92626325311764,50.951409852682524]}"
17690,488.0,752.0,748.0,2188.0,0.49046323,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92635308464605,50.951409852682524]}"
17691,396.0,602.0,522.0,2480.0,0.6522319,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92644291617447,50.951409852682524]}"
